CLIENT_ID,TOTAL_TRANSACCIONES,DIAS_CON_ACTIVIDAD,GASTO_PROMEDIO_DIARIO,GASTO_VARIABILIDAD,DIAS_DESDE_ULTIMA_ACTIVIDAD,SEGMENTO_ACTIVIDAD
ES182405039N,37,37,282.4540540540541,413.2325892242733,0,ACTIVO
ES182391573W,95,95,0.0,0.0,31,MODERADO
ES182279031S,96,96,23.79375,144.31683113899084,0,ACTIVO
ES182353659C,41,41,300.97463414634143,556.4733414778177,31,MODERADO
ES182418016E,23,23,0.0,0.0,0,ACTIVO
ES182166698P,32,32,259.18031249999996,519.3717345674879,31,MODERADO
ES182310492A,9,9,239.99777777777774,680.4350079320172,31,MODERADO
ES182268589R,75,75,0.0,0.0,0,ACTIVO
ES182124287C,88,88,39.185340909090904,95.99661780379296,0,ACTIVO
ES182258667P,96,96,70.15708333333333,267.32124246195536,0,ACTIVO
ES182137565D,22,22,0.0,0.0,62,MODERADO
ES182401806D,95,95,97.15,234.75224436876044,0,ACTIVO
ES182177052M,96,96,161.55989583333334,351.8186725857356,0,ACTIVO
ES182364148K,79,79,27.341772151898734,243.01898660002115,0,ACTIVO
ES182206859M,94,94,192.53063829787234,578.1408166056041,62,MODERADO
ES182122930E,89,89,23.17932584269663,200.3506871190758,0,ACTIVO
ES182161407M,96,96,11.25,110.22703842524301,0,ACTIVO
ES182323607P,19,19,0.0,0.0,0,ACTIVO
ES182418267F,73,73,11.095890410958905,94.80332922886575,0,ACTIVO
ES182253879O,19,19,0.0,0.0,62,MODERADO
ES182341529E,16,16,0.0,0.0,0,ACTIVO
ES182202149L,42,42,0.0,0.0,0,ACTIVO
ES182113411A,83,83,13.009759036144578,118.49788382360647,31,MODERADO
ES182344675Q,90,90,24.057666666666666,227.67850181533697,62,MODERADO
ES182155637U,96,96,40.5,175.41799703625202,0,ACTIVO
ES182344579L,96,96,0.0,0.0,0,ACTIVO
ES182228922U,70,70,0.0,0.0,31,MODERADO
ES182356237K,21,21,309.9938095238095,940.3790589675857,31,MODERADO
ES182364023V,88,88,18.40909090909091,172.69258024804444,31,MODERADO
ES182319379G,7,7,430.05571428571426,637.1384328086831,0,ACTIVO
ES182189508S,85,85,36.529411764705884,194.73123041987986,0,ACTIVO
ES182378189N,96,96,13.949374999999998,90.60513739137825,0,ACTIVO
ES182163905Y,11,11,98.31727272727272,249.5341805881875,31,MODERADO
ES182411045T,89,89,30.337078651685392,201.2204209668989,0,ACTIVO
ES182229710M,96,96,0.0,0.0,0,ACTIVO
ES182379297G,36,36,0.0,0.0,62,MODERADO
ES182148219L,86,86,34.353139534883724,151.86457345676058,0,ACTIVO
ES182421508H,94,94,62.70319148936171,289.579059887259,0,ACTIVO
ES182308531O,91,91,19.345054945054947,108.8786238215506,0,ACTIVO
ES182323701O,90,90,105.6,419.93647994787403,0,ACTIVO
ES182220324Q,39,39,227.31769230769228,871.5880737887883,0,ACTIVO
ES182345804O,95,95,5.684210526315789,55.40283101259832,31,MODERADO
ES182397408J,41,41,0.0,0.0,31,MODERADO
ES182217872Q,96,96,0.0,0.0,0,ACTIVO
ES182442381G,28,28,0.0,0.0,93,POCO_ACTIVO
ES182163619I,41,41,59.17341463414635,378.8947254555661,0,ACTIVO
ES182242102L,96,96,0.0,0.0,0,ACTIVO
ES182261714Q,21,21,175.18904761904764,508.30880868724637,31,MODERADO
ES182368980L,12,12,9.0,31.176914536239792,31,MODERADO
ES182420166I,77,77,78.8961038961039,275.2692263190799,0,ACTIVO
ES182363966Y,71,71,20.535211267605632,160.5447717692941,62,MODERADO
ES182331343G,29,29,0.0,0.0,0,ACTIVO
ES182223785W,76,76,0.0,0.0,0,ACTIVO
ES182102639J,18,18,0.0,0.0,93,POCO_ACTIVO
ES182303796D,93,93,60.472043010752685,202.84849964379146,0,ACTIVO
ES182360017K,96,96,6.1875,60.62487113388366,0,ACTIVO
ES182133642C,85,85,31.129411764705882,192.02956048702592,0,ACTIVO
ES182413873B,91,91,106.26186813186813,231.433398828125,0,ACTIVO
ES182245752Y,26,26,0.0,0.0,0,ACTIVO
ES182291686Y,91,91,26.10989010989011,227.30837842257137,0,ACTIVO
ES182319130A,96,96,71.08822916666666,208.45214408761996,0,ACTIVO
ES182222661K,76,76,35.064473684210526,224.2881591191399,0,ACTIVO
ES182383742D,6,6,0.0,0.0,31,MODERADO
ES182441143C,25,25,0.0,0.0,31,MODERADO
ES182164449A,89,89,9.09752808988764,85.82590834835496,0,ACTIVO
ES182438060U,51,51,10.57764705882353,75.53950941297504,0,ACTIVO
ES182186257B,89,89,34.946741573033705,162.12986963160736,31,MODERADO
ES182124762U,75,75,36.54,218.41573116793035,0,ACTIVO
ES182240057V,72,72,38.05625,144.49570804520775,93,POCO_ACTIVO
ES182311021E,6,6,0.0,0.0,0,ACTIVO
ES182160907A,24,24,176.1025,539.689693582058,31,MODERADO
ES182442545A,53,53,40.77301886792453,255.24361177559302,0,ACTIVO
ES182197041P,4,4,0.0,0.0,62,MODERADO
ES182264588F,82,82,15.146341463414634,119.815174738265,31,MODERADO
