CLIENT_ID,DIGITAL_CLIENT,HOME_OWNER,OWN_INSURANCE_CAR,CLIENTE_DIGITAL,MESES_CONSECUTIVOS,MESES_TOTALES,TASA_RETENCION,SEGMENTO_FIDELIDAD
ES182100026W,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100041P,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100105H,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100147F,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100166A,false,false,false,NO,4,5,80.0,ALTA_FIDELIDAD
ES182100183G,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100186U,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100259H,false,false,false,NO,18,20,90.0,ALTA_FIDELIDAD
ES182100314Z,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100375X,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100392Z,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100414J,false,false,false,NO,74,82,90.2439024390244,ALTA_FIDELIDAD
ES182100473J,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100680E,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100722K,true,false,false,SI,79,88,89.77272727272727,ALTA_FIDELIDAD
ES182100806K,false,false,false,NO,13,15,86.66666666666667,ALTA_FIDELIDAD
ES182100811H,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100873M,false,false,false,NO,9,10,90.0,ALTA_FIDELIDAD
ES182100875H,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100893U,false,false,false,NO,6,7,85.71428571428571,ALTA_FIDELIDAD
ES182100974Y,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100981D,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100996C,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182100999J,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101137L,false,false,false,NO,8,9,88.88888888888889,ALTA_FIDELIDAD
ES182101162J,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101202Z,false,false,false,NO,0,1,0.0,BAJA_FIDELIDAD
ES182101215K,false,false,false,NO,36,40,90.0,ALTA_FIDELIDAD
ES182101304Z,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101364X,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101405H,false,false,false,NO,86,96,89.58333333333334,ALTA_FIDELIDAD
ES182101425A,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101476H,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101535X,true,false,false,SI,86,96,89.58333333333334,ALTA_FIDELIDAD
ES182101566G,true,false,false,SI,,,0.0,BAJA_FIDELIDAD
ES182101587P,false,false,false,NO,38,42,90.47619047619048,ALTA_FIDELIDAD
ES182101594W,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101659U,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101691K,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101694Q,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101696B,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101705O,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101760G,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101771D,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101773H,false,false,false,NO,86,95,90.52631578947368,ALTA_FIDELIDAD
ES182101803M,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182101888Z,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102001W,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102048K,false,false,false,NO,71,79,89.87341772151899,ALTA_FIDELIDAD
ES182102083B,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102319U,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102357A,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102391D,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102396R,false,false,false,NO,86,96,89.58333333333334,ALTA_FIDELIDAD
ES182102406Y,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102483Q,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102495E,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102496C,false,false,false,NO,85,95,89.47368421052632,ALTA_FIDELIDAD
ES182102527O,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102533A,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102534R,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102643V,true,false,false,SI,,,0.0,BAJA_FIDELIDAD
ES182102685U,false,false,false,NO,15,17,88.23529411764706,ALTA_FIDELIDAD
ES182102710V,false,false,false,NO,66,74,89.1891891891892,ALTA_FIDELIDAD
ES182102717V,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102723O,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102754V,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102764K,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102767X,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102777X,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102789L,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102791V,false,false,false,NO,14,16,87.5,ALTA_FIDELIDAD
ES182102810T,false,false,false,NO,22,24,91.66666666666666,ALTA_FIDELIDAD
ES182102834H,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102856D,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102877N,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102907U,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102929B,false,false,false,NO,38,42,90.47619047619048,ALTA_FIDELIDAD
ES182102930S,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182102942Z,false,false,false,NO,9,10,90.0,ALTA_FIDELIDAD
ES182102948L,true,false,false,SI,,,0.0,BAJA_FIDELIDAD
ES182103052U,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103065J,false,false,false,NO,4,5,80.0,ALTA_FIDELIDAD
ES182103086D,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103107D,false,false,false,NO,33,36,91.66666666666666,ALTA_FIDELIDAD
ES182103122N,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103152M,true,false,false,SI,,,0.0,BAJA_FIDELIDAD
ES182103181M,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103228Q,false,false,false,NO,12,14,85.71428571428571,ALTA_FIDELIDAD
ES182103320X,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103328B,true,false,false,SI,,,0.0,BAJA_FIDELIDAD
ES182103463W,false,false,false,NO,33,37,89.1891891891892,ALTA_FIDELIDAD
ES182103498B,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103571P,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103831A,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103834A,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103835G,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103846N,false,false,false,NO,12,14,85.71428571428571,ALTA_FIDELIDAD
ES182103869Q,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103934D,false,false,false,NO,83,92,90.21739130434783,ALTA_FIDELIDAD
ES182103947T,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182103964A,false,false,false,NO,85,95,89.47368421052632,ALTA_FIDELIDAD
ES182103981V,true,false,false,SI,36,40,90.0,ALTA_FIDELIDAD
ES182104067E,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104139X,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104151N,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104186A,true,false,false,SI,,,0.0,BAJA_FIDELIDAD
ES182104232D,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104250O,false,false,false,NO,6,7,85.71428571428571,ALTA_FIDELIDAD
ES182104265E,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104279V,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104323X,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104343N,true,false,false,SI,,,0.0,BAJA_FIDELIDAD
ES182104378D,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104392M,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104419E,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104449I,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104461L,false,false,false,NO,86,96,89.58333333333334,ALTA_FIDELIDAD
ES182104507H,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104583U,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104589A,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104649F,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104663A,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104668R,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104746T,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104829A,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104838L,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104891W,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104924T,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182104933V,true,false,false,SI,,,0.0,BAJA_FIDELIDAD
ES182104939D,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
ES182105020Q,false,false,false,NO,,,0.0,BAJA_FIDELIDAD
