CLIENT_ID,TOTAL_TRANSACCIONES,DIAS_CON_ACTIVIDAD,GASTO_PROMEDIO_DIARIO,GASTO_VARIABILIDAD,DIAS_DESDE_ULTIMA_ACTIVIDAD,SEGMENTO_ACTIVIDAD,GASTO_TOTAL,SALDO_PROMEDIO,LIMITE_MAXIMO,GASTO_POR_TRANSACCION,PORCENTAJE_USO_LIMITE,TOTAL_INCOME,AMOUNT_PRODUCT,NUMBER_OF_PRODUCTS,NAME_PRODUCT_TYPE,RENTABILIDAD_ESTIMADA,RANK_VALOR,SEGMENTO_VALOR,CLIENTE_DIGITAL,TASA_RETENCION,OWN_INSURANCE_CAR,SCORE_PROMEDIO,RATIO_DEUDA_INGRESO,NON_COMPLIANT_CONTRACT,CAR_AGE,OPORTUNIDAD_CROSS_SELLING,OPORTUNIDAD_ENGAGEMENT,OPORTUNIDAD_UP_SELLING
ES182100023A,8,8,0.0,0.0,93,POCO_ACTIVO,0.0,0.0,2700.0,0.0,0.0,1080.0,6533.89,2.0,PRODUCT 1,1080.0,0.6871755890976219,C - BAJO VALOR,NO,87.5,false,0.0,19.514814814814812,false,9.0,BAJA_OPORTUNIDAD,MIGRACION_DIGITAL,PRODUCTOS_PREMIUM
ES182100115E,1,1,540.0,,31,MODERADO,540.0,558.85,1620.0,540.0,34.49691358024691,1080.0,3780.0,2.0,PRODUCT 1,540.0,0.6411119556955153,C - BAJO VALOR,NO,0.0,false,0.0,16.314814814814813,false,9.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,PRODUCTOS_PREMIUM
ES182100162C,15,15,0.0,0.0,0,ACTIVO,0.0,0.0,540.0,0.0,0.0,1350.0,6568.13,2.0,PRODUCT 1,1350.0,0.6871755890976219,C - BAJO VALOR,NO,86.66666666666667,false,0.4748450311293572,16.19185185185185,false,9.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,PRODUCTOS_PREMIUM
ES182100180D,26,26,0.0,0.0,0,ACTIVO,0.0,0.0,5400.0,0.0,0.0,3780.0,15460.2,3.0,PRODUCT 1,3780.0,0.6871755890976219,C - BAJO VALOR,NO,88.46153846153845,false,0.6381183847909494,12.000000000000002,false,9.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,NO_APLICA
ES182100299W,18,18,0.0,0.0,0,ACTIVO,0.0,0.0,10800.0,0.0,0.0,1350.0,6480.0,3.0,PRODUCT 2,1350.0,0.6871755890976219,C - BAJO VALOR,NO,88.88888888888889,false,0.0,24.0,false,9.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,NO_APLICA
ES182100338P,24,24,160.31833333333336,487.72740985876135,0,ACTIVO,3847.6399999999994,1020.40375,3240.0,160.3183333333333,31.49394290123457,3240.0,7560.0,3.0,PRODUCT 1,-607.6399999999994,0.2839613421652731,B - VALOR MEDIO,SI,91.66666666666666,false,0.6706639763760465,8.620061728395061,false,9.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,NO_APLICA
ES182100339K,90,90,34.03788888888889,147.69801801972093,0,ACTIVO,3063.4099999999994,1572.0201111111116,1890.0,34.03788888888888,83.17566725455617,1998.0,5940.0,5.0,PRODUCT 2,-1065.4099999999994,0.34679118253882074,B - VALOR MEDIO,NO,90.0,false,0.0,14.864864864864865,false,9.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,NO_APLICA
ES182100468L,28,28,334.7767857142857,732.8703105878541,31,MODERADO,9373.75,1142.7896428571428,5400.0,334.7767857142857,21.162771164021162,1350.0,10800.0,,PRODUCT 1,-8023.75,0.09019437506786838,A - ALTO VALOR,NO,89.28571428571429,false,0.0,21.220000000000002,false,2.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,NO_APLICA
ES182100491G,18,18,212.62444444444446,644.9169442213399,0,ACTIVO,3827.2400000000002,2774.4049999999997,2700.0,212.62444444444446,102.75574074074075,2322.0,3769.2,,PRODUCT 1,-1505.2400000000002,0.2850906721685308,B - VALOR MEDIO,NO,88.88888888888889,false,0.0,8.872093023255813,false,64.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,NO_APLICA
ES182100530P,8,8,0.0,0.0,0,ACTIVO,0.0,0.0,540.0,0.0,0.0,1620.0,9243.5,1.0,PRODUCT 1,1620.0,0.6871755890976219,C - BAJO VALOR,NO,87.5,false,0.0,25.783333333333335,false,14.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,PRODUCTOS_PREMIUM
ES182100594F,13,12,0.0,0.0,0,ACTIVO,0.0,0.0,540.0,0.0,0.0,1276.78,4320.0,5.0,PRODUCT 1,1276.78,0.6871755890976219,C - BAJO VALOR,NO,91.66666666666666,false,0.0,9.304657027835649,false,9.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,NO_APLICA
ES182100727E,20,20,0.0,0.0,31,MODERADO,0.0,0.0,8100.0,0.0,0.0,1350.0,3412.8,4.0,PRODUCT 1,1350.0,0.6871755890976219,C - BAJO VALOR,NO,90.0,false,0.6177413328696529,9.196296296296296,false,64.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,NO_APLICA
ES182100743R,23,23,0.0,0.0,93,POCO_ACTIVO,0.0,0.0,4320.0,0.0,0.0,459.0,575.64,1.0,PRODUCT 1,459.0,0.6871755890976219,C - BAJO VALOR,NO,86.95652173913044,false,0.0,13.505446623093684,false,9.0,BAJA_OPORTUNIDAD,MIGRACION_DIGITAL,PRODUCTOS_PREMIUM
ES182100923E,39,39,227.2153846153846,597.9610696439331,0,ACTIVO,8861.4,4076.1,5130.0,227.2153846153846,79.45614035087719,3240.0,3411.07,3.0,PRODUCT 1,-5621.4,0.10005429471169508,A - ALTO VALOR,NO,89.74358974358975,false,0.0,11.21820987654321,false,1.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,NO_APLICA
ES182100961B,14,14,0.0,0.0,0,ACTIVO,0.0,0.0,1890.0,0.0,0.0,972.0,4320.0,1.0,PRODUCT 1,972.0,0.6871755890976219,C - BAJO VALOR,NO,85.71428571428571,false,0.0,14.116255144032921,false,9.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,PRODUCTOS_PREMIUM
ES182101028L,71,71,10.934647887323944,92.136980815538,0,ACTIVO,776.36,52.15450704225352,1080.0,10.934647887323944,4.829121022430882,1350.0,10638.0,3.0,PRODUCT 1,573.64,0.6233467260288847,C - BAJO VALOR,NO,90.14084507042254,false,0.28219297510455926,23.156296296296297,false,9.0,BAJA_OPORTUNIDAD,SEGURO_AUTOMOVIL,NO_APLICA
