CLIENT_ID,REACTIVE_SCORING,PROACTIVE_SCORING,BEHAVIORAL_SCORING,NON_COMPLIANT_CONTRACT,INSTALLMENT,TOTAL_INCOME,SCORE_PROMEDIO,RATIO_DEUDA_INGRESO,DIAS_DESDE_ULTIMA_ACTIVIDAD,SEGMENTO_ACTIVIDAD,TASA_RETENCION,PROBABILIDAD_ABANDONO,NIVEL_RIESGO
ES182405039N,0.7141156607111931,0.0357363427129692,0.7309873696832169,false,231.66,1890.0,0.4936131243691264,12.257142857142856,0,ACTIVO,89.1891891891892,0.2,BAJO_RIESGO
ES182245476M,,0.7622088885088584,0.175605979469379,false,309.2,2430.0,0.0,12.724279835390945,0,ACTIVO,90.0,0.2,BAJO_RIESGO
ES182319379G,0.2160023770925501,0.0982735560837178,0.248535557339522,false,395.17,1890.0,0.18760383017192997,20.908465608465608,0,ACTIVO,85.71428571428571,0.2,BAJO_RIESGO
ES182391573W,,0.4422730850399,0.5388627065779676,false,528.98,1890.0,0.0,27.98835978835979,31,MODERADO,89.47368421052632,0.4,MEDIO_RIESGO
ES182189508S,0.8216319634309792,0.7069813752471475,0.6722428897082422,false,157.14,1350.0,0.7336187427954565,11.639999999999999,0,ACTIVO,89.41176470588236,0.2,BAJO_RIESGO
ES182232062V,,0.3950779055100151,0.4241303111942548,true,78.62,2700.0,0.0,2.911851851851852,0,ACTIVO,88.88888888888889,0.2,RIESGO_CONTRATO
ES182283610G,0.8016313258162358,0.4663113221587283,0.7366226976503176,false,182.9,1080.0,0.6681884485417605,16.935185185185187,0,ACTIVO,89.33333333333333,0.2,BAJO_RIESGO
ES182279031S,0.553147736712978,0.6903977026620437,0.4276573700350293,false,182.9,1890.0,0.5570676031366837,9.677248677248677,0,ACTIVO,89.58333333333334,0.2,BAJO_RIESGO
ES182202505U,,0.5413354614774062,0.7151031019926098,true,307.53,810.0,0.0,37.96666666666667,0,ACTIVO,85.71428571428571,0.2,RIESGO_CONTRATO
ES182235420X,0.5426446313676981,0.6953025340049109,,false,266.6,810.0,0.0,32.91358024691358,31,MODERADO,90.0,0.4,MEDIO_RIESGO
ES182196536J,0.4795198768333007,0.5903611549300781,0.1745642655572634,false,302.35,1890.0,0.4148150991068808,15.997354497354499,0,ACTIVO,85.71428571428571,0.2,BAJO_RIESGO
ES182303796D,0.4102418709954828,0.6675498605649266,,false,662.8,3780.0,0.0,17.53439153439153,0,ACTIVO,90.32258064516128,0.2,BAJO_RIESGO
ES182131592N,,0.6234170030944411,,false,193.97,1080.0,0.0,17.960185185185185,93,POCO_ACTIVO,89.47368421052632,0.7,ALTO_RIESGO
ES182293250V,0.7565969145245307,0.3570811392099899,0.7394117535524816,false,342.58,1350.0,0.6176966024290007,25.376296296296296,0,ACTIVO,91.48936170212765,0.2,BAJO_RIESGO
ES182135783L,0.3462452449746643,0.7173974284901177,0.8027454758994178,false,104.17,1512.0,0.6221293831214,6.889550264550265,62,MODERADO,80.0,0.4,MEDIO_RIESGO
ES182302510T,0.6384879274935776,0.5890278317526466,,false,86.62,1134.0,0.0,7.638447971781305,31,MODERADO,88.88888888888889,0.4,MEDIO_RIESGO
ES182112694Y,0.7214302097791336,0.0705703028855641,0.6347055309763198,false,445.5,1890.0,0.4755686812136725,23.57142857142857,0,ACTIVO,88.88888888888889,0.2,BAJO_RIESGO
ES182433571C,0.5331376994491913,0.3911130265072707,0.4382813743111921,false,435.78,2160.0,0.45417736675588466,20.174999999999997,0,ACTIVO,90.9090909090909,0.2,BAJO_RIESGO
ES182378189N,,0.3814915149730375,0.2896112383820055,false,124.15,1188.0,0.0,10.4503367003367,0,ACTIVO,89.58333333333334,0.2,BAJO_RIESGO
ES182344010G,,0.4565623698733776,0.6658549219640212,false,377.41,2592.0,0.0,14.560570987654323,0,ACTIVO,87.5,0.2,BAJO_RIESGO
ES182360017K,,0.4479116323313442,0.5884877883422673,false,393.12,1620.0,0.0,24.266666666666666,0,ACTIVO,89.58333333333334,0.2,BAJO_RIESGO
ES182222478Q,,0.4168641338097844,0.4543210601605785,false,322.87,2160.0,0.0,14.947685185185186,0,ACTIVO,89.47368421052632,0.2,BAJO_RIESGO
ES182173788A,0.6627336579214086,0.5829056177275557,,false,321.95,1890.0,0.0,17.03439153439153,31,MODERADO,85.71428571428571,0.4,MEDIO_RIESGO
ES182133642C,,0.488430531030339,0.5849900404894085,false,221.78,1458.0,0.0,15.211248285322359,0,ACTIVO,89.41176470588236,0.2,BAJO_RIESGO
ES182413873B,0.2512027980467816,0.6728905520230019,0.3740208032583212,false,288.41,2430.0,0.43270471777603486,11.868724279835392,0,ACTIVO,90.10989010989012,0.2,BAJO_RIESGO
ES182245752Y,,0.4813738596686006,0.5762088360175724,false,131.81,1890.0,0.0,6.974074074074074,0,ACTIVO,88.46153846153845,0.2,BAJO_RIESGO
ES182291686Y,0.6257131990044104,0.5118846755870349,0.5513812618027899,false,279.13,2268.0,0.562993045464745,12.30731922398589,0,ACTIVO,90.10989010989012,0.2,BAJO_RIESGO
ES182231902V,0.3903933201298693,0.12490773444116,0.2721336844147212,false,586.76,3240.0,0.2624782463285835,18.109876543209875,0,ACTIVO,89.58333333333334,0.2,BAJO_RIESGO
ES182274470J,0.7073389958827204,0.465554951423097,,false,110.54,1350.0,0.0,8.188148148148148,31,MODERADO,86.66666666666667,0.4,MEDIO_RIESGO
ES182176939F,,0.3094185815376337,0.4866531565147181,false,360.83,1620.0,0.0,22.273456790123454,0,ACTIVO,89.28571428571429,0.2,BAJO_RIESGO
ES182353659C,,0.650913880103731,0.1777040724853336,false,395.23,2970.0,0.0,13.307407407407407,31,MODERADO,90.2439024390244,0.4,MEDIO_RIESGO
ES182158001Q,0.6521493894232591,0.6716957490447726,0.3441550073724169,false,506.47,4050.0,0.5560000486134828,12.505432098765432,31,MODERADO,91.42857142857143,0.4,MEDIO_RIESGO
ES182349721X,,0.0902104603217534,0.5531646987710016,false,101.14,810.0,0.0,12.48641975308642,31,MODERADO,80.0,0.4,MEDIO_RIESGO
ES182145473H,,0.6930835465226428,0.3706496323299817,false,776.3,3132.0,0.0,24.786079182630903,0,ACTIVO,86.66666666666667,0.2,BAJO_RIESGO
ES182264392R,0.2856489870631788,0.2835597866738105,0.2091546988410069,false,413.64,2592.0,0.2594544908593321,15.958333333333332,31,MODERADO,83.33333333333334,0.4,MEDIO_RIESGO
ES182297392F,,0.4035697205215152,0.4294236843421945,false,388.04,2808.0,0.0,13.81908831908832,0,ACTIVO,89.28571428571429,0.2,BAJO_RIESGO
