CLIENT_ID,GASTO_TOTAL,SALDO_PROMEDIO,LIMITE_MAXIMO,GASTO_POR_TRANSACCION,PORCENTAJE_USO_LIMITE,TOTAL_INCOME,AMOUNT_PRODUCT,NUMBER_OF_PRODUCTS,NAME_PRODUCT_TYPE,RENTABILIDAD_ESTIMADA,RANK_VALOR,SEGMENTO_VALOR
ES182348429U,192187.19,3594.4652631578947,5940.0,5057.557631578948,60.51288321814637,3078.0,7560.0,1.0,PRODUCT 1,-189109.19,0.0,A - ALTO VALOR
ES182227107Z,144442.25,1265.0833333333333,8100.0,9629.483333333334,15.618312757201643,4320.0,18900.0,,PRODUCT 1,-140122.25,2.1717884678032358E-5,A - ALTO VALOR
ES182129030R,120642.64,3786.217826086957,10800.0,5245.332173913043,35.05757246376812,4266.0,8100.0,5.0,PRODUCT 1,-116376.64,4.3435769356064716E-5,A - ALTO VALOR
ES182117163D,100618.2,3101.155897435897,4050.0,2579.953846153846,76.57175055397276,1755.0,6343.6,3.0,PRODUCT 1,-98863.2,6.515365403409708E-5,A - ALTO VALOR
ES182403153O,99603.0,4486.245714285714,5400.0,2845.8,83.07862433862432,1998.0,6826.9,2.0,PRODUCT 1,-97605.0,8.687153871212943E-5,A - ALTO VALOR
ES182262674U,91530.0,706.3584848484849,5400.0,2773.6363636363635,13.08071268237935,2808.0,14676.12,1.0,PRODUCT 1,-88722.0,1.085894233901618E-4,A - ALTO VALOR
ES182446227G,87831.59,3489.470416666667,9180.0,3659.6495833333333,38.01166031227306,6480.0,4804.7,6.0,PRODUCT 1,-81351.59,1.3030730806819416E-4,A - ALTO VALOR
ES182116963C,84592.95,2308.6956666666665,3240.0,2819.765,71.2560390946502,7560.0,13998.42,1.0,PRODUCT 1,-77032.95,1.5202519274622653E-4,A - ALTO VALOR
ES182132454N,84581.42000000001,1578.7096551724144,7020.0,972.2002298850576,22.48874152667257,3240.0,15731.17,1.0,PRODUCT 1,-81341.42000000001,1.7374307742425886E-4,A - ALTO VALOR
ES182423117N,84021.48999999999,905.9123076923078,9180.0,3231.595769230769,9.868325791855206,4320.0,12795.84,5.0,PRODUCT 1,-79701.48999999999,1.9546096210229123E-4,A - ALTO VALOR
ES182215757Z,83904.73,2770.2367857142854,7020.0,2996.5975,39.46206247456247,1350.0,4125.6,,PRODUCT 1,-82554.73,2.171788467803236E-4,A - ALTO VALOR
ES182366160A,82594.29000000001,4448.096428571429,5400.0,5899.592142857144,82.37215608465608,2700.0,5400.0,0.0,PRODUCT 1,-79894.29000000001,2.3889673145835596E-4,A - ALTO VALOR
ES182358570I,79456.63,2059.7899999999995,9180.0,4966.039375,22.437799564270147,3780.0,16200.0,,PRODUCT 1,-75676.63,2.606146161363883E-4,A - ALTO VALOR
ES182177455I,77063.4,1184.4273333333333,5400.0,2568.7799999999997,21.933839506172838,3780.0,11307.6,7.0,PRODUCT 1,-73283.4,2.823325008144207E-4,A - ALTO VALOR
ES182156500S,76723.06,6673.37923076923,16200.0,5901.773846153846,41.19369895536562,4050.0,10800.0,4.0,PRODUCT 1,-72673.06,3.0405038549245305E-4,A - ALTO VALOR
ES182173073E,75471.23000000001,2525.728095238095,5400.0,1796.9340476190478,46.77274250440917,3240.0,12083.04,5.0,PRODUCT 1,-72231.23000000001,3.257682701704854E-4,A - ALTO VALOR
ES182166373H,75064.03000000001,1695.6178260869565,5400.0,3263.65347826087,31.400330112721413,4320.0,6696.0,0.0,PRODUCT 1,-70744.03000000001,3.4748615484851773E-4,A - ALTO VALOR
ES182363662D,73749.7,2593.934516129032,5400.0,2379.0225806451613,48.035824372759855,3780.0,14040.0,1.0,PRODUCT 1,-69969.7,3.692040395265501E-4,A - ALTO VALOR
ES182412497V,73249.06,3681.3710526315786,10800.0,3855.213684210526,34.08676900584795,5400.0,12938.4,3.0,PRODUCT 1,-67849.06,3.9092192420458246E-4,A - ALTO VALOR
ES182254874N,73201.85,1613.5246153846156,5400.0,1876.970512820513,29.880085470085472,3780.0,3787.99,9.0,PRODUCT 1,-69421.85,4.126398088826148E-4,A - ALTO VALOR
ES182446412N,72112.26,1554.4757142857143,8100.0,5150.875714285714,19.1910582010582,4590.0,6343.6,,PRODUCT 1,-67522.26,4.343576935606472E-4,A - ALTO VALOR
ES182175638W,71158.28,2168.092777777778,10800.0,3953.237777777778,20.074933127572017,2970.0,9703.8,1.0,PRODUCT 1,-68188.28,4.5607557823867955E-4,A - ALTO VALOR
ES182179022I,70689.23,2371.7556060606075,4320.0,1071.0489393939392,54.90175014029184,5400.0,24296.65,4.0,PRODUCT 1,-65289.229999999996,4.777934629167119E-4,A - ALTO VALOR
ES182207890D,69958.34000000001,1014.0550000000001,5400.0,1748.9585000000002,18.778796296296296,2700.0,5970.24,0.0,PRODUCT 1,-67258.34000000001,4.995113475947442E-4,A - ALTO VALOR
ES182264704B,69222.25,908.0264285714286,4320.0,2472.223214285714,21.019130291005293,3240.0,7110.72,,PRODUCT 1,-65982.25,5.212292322727766E-4,A - ALTO VALOR
ES182262287Y,67800.25,717.7290243902439,7020.0,1653.6646341463415,10.2240601764992,4320.0,16200.0,2.0,PRODUCT 1,-63480.25,5.42947116950809E-4,A - ALTO VALOR
ES182216172A,67358.9,476.9586000000001,5400.0,1347.1779999999999,8.832566666666668,2970.0,12296.88,3.0,PRODUCT 1,-64388.899999999994,5.646650016288414E-4,A - ALTO VALOR
ES182313299J,67014.48000000001,1820.4421875,5940.0,2094.2025000000003,30.647174873737377,2311.2,15745.32,0.0,PRODUCT 1,-64703.28000000001,5.863828863068737E-4,A - ALTO VALOR
ES182278146U,66854.59,670.8045652173913,5400.0,1453.360652173913,12.422306763285023,2700.0,18081.79,1.0,PRODUCT 1,-64154.59,6.081007709849061E-4,A - ALTO VALOR
ES182426474F,65058.12,1486.4886842105266,3240.0,856.0278947368421,45.8792803768681,2430.0,13500.0,5.0,PRODUCT 1,-62628.12,6.298186556629384E-4,A - ALTO VALOR
ES182294323L,64177.95999999999,1846.445172413793,8640.0,2213.0331034482756,21.370893199233716,2160.0,9882.0,4.0,PRODUCT 1,-62017.95999999999,6.515365403409708E-4,A - ALTO VALOR
ES182197403Y,64065.89000000001,1184.065483870968,2700.0,2066.641612903226,43.85427718040622,2160.0,5400.0,,PRODUCT 1,-61905.89000000001,6.732544250190031E-4,A - ALTO VALOR
